epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9687,2.12605,3.13869,1.82105,0.00424,0.71014,0.12683,0.04493,2.02005,3.71709,1.94614,0.000539324,0.000539324,0.000539324
2,19.5943,1.95834,2.39128,1.68649,0.13743,0.18841,0.07928,0.03777,2.15402,3.81016,2.10774,0.00108415,0.00108415,0.00108415
3,27.8769,2.00708,2.41618,1.75831,0.15693,0.13043,0.06446,0.02079,2.88252,6.51717,4.15689,0.00161797,0.00161797,0.00161797
4,36.0061,2.03913,2.27451,1.76585,0.38177,0.13043,0.13577,0.04007,2.62671,3.57572,2.78467,0.00161749,0.00161749,0.00161749
5,44.1782,1.99152,2.17421,1.76497,0.43386,0.24638,0.22207,0.08108,2.37746,2.81754,2.28757,0.00160099,0.00160099,0.00160099
6,52.3735,2.01819,2.09225,1.75961,0.25393,0.18841,0.13945,0.04198,2.45708,3.88451,2.35073,0.00158448,0.00158448,0.00158448
7,60.8989,1.97301,1.98814,1.68541,0.52876,0.30435,0.3239,0.14722,2.29481,2.1158,2.13828,0.00156798,0.00156798,0.00156798
8,69.0553,1.93005,1.9564,1.65173,0.42956,0.36232,0.33466,0.16853,1.97809,2.5113,1.96829,0.00155148,0.00155148,0.00155148
9,77.0619,1.88767,1.89219,1.64645,0.33838,0.2669,0.24776,0.12665,2.08471,2.4567,2.02336,0.00153497,0.00153497,0.00153497
10,85.048,1.85913,1.79602,1.65841,0.26625,0.31884,0.2587,0.12834,1.95875,2.51394,1.98297,0.00151847,0.00151847,0.00151847
11,93.1633,1.90217,1.84268,1.67017,0.21688,0.15942,0.13172,0.06421,2.05453,2.8435,1.97917,0.00150197,0.00150197,0.00150197
12,101.445,1.87858,1.70774,1.61774,0.4043,0.24638,0.17846,0.08162,2.2485,2.79324,2.13018,0.00148546,0.00148546,0.00148546
13,109.721,1.85199,1.71264,1.62248,0.51953,0.31884,0.28857,0.13558,2.20434,2.87791,2.03978,0.00146896,0.00146896,0.00146896
14,117.907,1.85611,1.64465,1.60513,0.58329,0.37681,0.38684,0.18238,2.1572,2.01692,2.01051,0.00145246,0.00145246,0.00145246
15,126.02,1.81665,1.70115,1.63372,0.56828,0.33333,0.34817,0.15797,2.05708,1.90197,1.98045,0.00143595,0.00143595,0.00143595
16,134.211,1.83256,1.61968,1.58284,0.40849,0.26087,0.25027,0.12308,2.082,2.832,1.92268,0.00141945,0.00141945,0.00141945
17,142.548,1.8618,1.64646,1.60884,0.34403,0.37681,0.29648,0.14383,1.95976,2.53819,1.80405,0.00140295,0.00140295,0.00140295
18,150.939,1.77761,1.56333,1.56193,0.3828,0.24638,0.25765,0.122,2.23082,2.31907,2.1661,0.00138644,0.00138644,0.00138644
19,158.822,1.813,1.60264,1.6018,0.55618,0.34513,0.36328,0.16884,1.88839,2.05692,1.8116,0.00136994,0.00136994,0.00136994
20,167.115,1.78067,1.55013,1.56234,0.5336,0.31884,0.36611,0.177,2.00499,2.25589,1.91283,0.00135344,0.00135344,0.00135344
21,175.612,1.76771,1.56294,1.56244,0.368,0.31884,0.27664,0.12368,2.21761,2.15797,2.03946,0.00133693,0.00133693,0.00133693
22,184.112,1.77563,1.49382,1.53817,0.48925,0.3913,0.41204,0.20195,1.90012,2.18125,1.78126,0.00132043,0.00132043,0.00132043
23,192.955,1.78594,1.51409,1.53526,0.42688,0.42029,0.36517,0.17636,1.89951,1.96276,1.81557,0.00130393,0.00130393,0.00130393
24,201.94,1.71734,1.52542,1.53323,0.60604,0.34783,0.35226,0.15926,2.17274,2.38022,2.03665,0.00128742,0.00128742,0.00128742
25,211.206,1.70274,1.46107,1.50832,0.61383,0.31884,0.37842,0.17146,2.02536,2.19336,1.97803,0.00127092,0.00127092,0.00127092
26,220.25,1.71272,1.4774,1.52235,0.52414,0.3913,0.38174,0.17968,2.11923,2.19004,1.91342,0.00125442,0.00125442,0.00125442
27,229.208,1.73928,1.42207,1.50759,0.61554,0.28986,0.33139,0.15758,2.00512,2.10194,1.85737,0.00123791,0.00123791,0.00123791
28,238.418,1.65809,1.38705,1.48548,0.7156,0.27536,0.32565,0.17111,1.94248,2.22308,1.9619,0.00122141,0.00122141,0.00122141
29,247.29,1.67241,1.39838,1.50055,0.46484,0.36232,0.31078,0.16235,1.97342,2.15438,1.86883,0.00120491,0.00120491,0.00120491
30,256.16,1.67089,1.36495,1.47517,0.45599,0.30435,0.29549,0.14395,2.04442,2.27162,1.94627,0.0011884,0.0011884,0.0011884
31,266.244,1.64692,1.34796,1.48381,0.63467,0.3274,0.32781,0.1634,1.91206,2.61051,1.92011,0.0011719,0.0011719,0.0011719
32,276.21,1.63019,1.32752,1.45976,0.51675,0.26087,0.31022,0.14818,2.06833,2.21289,1.96067,0.0011554,0.0011554,0.0011554
33,285.451,1.64238,1.34979,1.48712,0.5487,0.30435,0.30824,0.17456,1.87155,2.12033,1.81514,0.00113889,0.00113889,0.00113889
34,295.094,1.61659,1.27502,1.45174,0.4483,0.3651,0.32153,0.17381,1.94434,2.00511,1.87465,0.00112239,0.00112239,0.00112239
