epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.227,2.16851,3.13485,1.93052,0.08329,0.21739,0.0381,0.01366,2.33963,26.8496,3.11008,0.000539324,0.000539324,0.000539324
2,194.882,2.07505,2.74887,1.90228,0.00218,0.42029,0.00138,0.00036,3.97679,inf,44.8389,0.00108415,0.00108415,0.00108415
3,271.777,2.24849,2.49131,2.04775,0.00068,0.15942,0.0004,0.0001,4.76558,nan,286.213,0.00161797,0.00161797,0.00161797
4,329.088,2.23462,2.31101,2.00944,0.00158,0.2029,0.00087,0.00033,4.27332,inf,35.3331,0.00161749,0.00161749,0.00161749
5,401.977,2.17664,2.19233,1.96051,0.09459,0.2029,0.0664,0.02053,2.60134,54.5879,4.05682,0.00160099,0.00160099,0.00160099
6,476.505,2.19715,2.20925,2.01896,0.15933,0.24638,0.1083,0.0336,2.40313,17.6111,2.65169,0.00158448,0.00158448,0.00158448
7,553.702,2.0905,2.03739,1.8876,0.16456,0.23411,0.10088,0.04051,2.29671,5.83886,2.42913,0.00156798,0.00156798,0.00156798
8,635.252,2.05555,2.02136,1.87817,0.12689,0.10145,0.07042,0.03078,2.5511,10.2883,2.35953,0.00155148,0.00155148,0.00155148
9,747.431,2.02396,1.99299,1.85711,0.22218,0.3519,0.18352,0.07599,2.43107,4.24404,2.19196,0.00153497,0.00153497,0.00153497
10,824.353,1.97244,1.92292,1.82749,0.16468,0.30435,0.1865,0.07279,2.24751,2.99223,2.11734,0.00151847,0.00151847,0.00151847
11,904.856,1.97927,1.94318,1.75561,0.34938,0.27536,0.17573,0.0822,2.2016,2.56806,2.08839,0.00150197,0.00150197,0.00150197
12,995.799,1.96209,1.78053,1.7493,0.32796,0.31884,0.20349,0.07603,2.2626,3.95111,2.24546,0.00148546,0.00148546,0.00148546
13,1074.86,1.93272,1.76444,1.75761,0.26988,0.3913,0.20857,0.0711,2.1932,3.71654,2.14368,0.00146896,0.00146896,0.00146896
14,1146.96,1.96879,1.79437,1.75877,0.32409,0.3913,0.27965,0.13403,1.93755,2.94457,1.92073,0.00145246,0.00145246,0.00145246
15,1223.89,1.94527,1.79796,1.77921,0.31553,0.2029,0.15559,0.06754,2.17159,4.3836,2.05425,0.00143595,0.00143595,0.00143595
16,1340.93,1.87197,1.69958,1.69771,0.39202,0.30435,0.30818,0.12948,2.31121,2.78596,2.1139,0.00141945,0.00141945,0.00141945
17,1454.08,1.9214,1.67809,1.72349,0.38576,0.28986,0.30271,0.10593,2.31404,2.69885,2.31846,0.00140295,0.00140295,0.00140295
18,1552.54,1.84993,1.65844,1.71701,0.32092,0.29456,0.22428,0.10478,2.09435,2.63387,2.09489,0.00138644,0.00138644,0.00138644
19,1657.07,1.88892,1.7166,1.71877,0.40092,0.31884,0.33644,0.12618,2.07366,2.44912,1.93553,0.00136994,0.00136994,0.00136994
